record_id,timestamp,airline,SHC,origin,destination,packaging_condition,packaging_seal_status,shipper_company_name,consignee_name,shipper_type,documentation_status,security_screening_status,xray_scan_result,shipment_priority,weather_condition,cargo_weight_kg,damage_history_count,compliance_violation_count,inspection_duration_minutes,shipper_reliability_score,acceptance_rejection_flag
3084,2024-02-06 11:00:00,Emirates,PER,MXP,JED,Good,Intact,DB Schenker,Jeddah Electronics,Retail,Pending,Cleared,Clear,Express,Rain,12726,12,7,43,84,0
3085,2024-02-06 12:00:00,Qatar,HUM,DXB,JED,Good,Broken,Aramex,Gulf Fresh Foods,Corporate,Pending,Cleared,Clear,VIP,Fog,30411,12,6,104,92,0
3086,2024-02-06 13:00:00,Emirates,AVI,MAA,JED,Good,Intact,DHL,Arabian Medical Supply,Corporate,Missing,Cleared,Clear,Normal,Clear,46564,7,5,137,81,0
3087,2024-02-06 14:00:00,Qatar,COL,PVG,JED,Good,Intact,Aramex,Jeddah Electronics,Retail,Complete,Cleared,Clear,Normal,Clear,14762,2,9,13,91,0
3088,2024-02-06 15:00:00,Air India,VAL,JFK,JED,Good,Intact,DHL,Desert Logistics,Agent,Missing,Cleared,Clear,VIP,Rain,37799,9,9,174,85,0
3089,2024-02-06 16:00:00,Air India,HUM,AMS,JED,Average,Missing,Maersk,Arabian Medical Supply,Agent,Complete,Cleared,Clear,VIP,Storm,28435,10,11,159,85,0
3090,2024-02-06 17:00:00,Air India,VAL,FRA,JED,Good,Intact,DB Schenker,Al Jazeera Trading,Agent,Pending,Cleared,Manual Review Required,Express,Rain,43517,11,0,50,91,0
3091,2024-02-06 18:00:00,Air India,PER,MAA,JED,Average,Missing,Amazon Logistics,Red Sea Imports,Retail,Complete,Cleared,Manual Review Required,Express,Clear,34722,5,10,90,82,0
3092,2024-02-06 19:00:00,Qatar,HUM,JFK,JED,Good,Intact,UPS,Arabian Medical Supply,Retail,Complete,Cleared,Clear,VIP,Fog,38878,10,6,175,78,0
3093,2024-02-06 20:00:00,Lufthansa,AVI,OSL,JED,Good,Intact,DHL,Middle East Retail Group,Corporate,Complete,Cleared,Clear,Normal,Rain,44429,4,11,124,99,0
3094,2024-02-06 21:00:00,Qatar,DGR,DXB,JED,Good,Tampered,Amazon Logistics,Al Jazeera Trading,Agent,Complete,Cleared,Manual Review Required,Express,Fog,33686,8,8,39,99,0
3095,2024-02-06 22:00:00,Emirates,HUM,HAM,JED,Average,Intact,FedEx,Middle East Retail Group,Agent,Complete,Cleared,Clear,VIP,Rain,3140,10,3,53,46,0
3096,2024-02-06 23:00:00,Air India,HUM,JFK,JED,Good,Intact,DB Schenker,Red Sea Imports,Retail,Missing,Cleared,Clear,Normal,Rain,7644,9,2,6,42,0
3097,2024-02-07 00:00:00,Air India,HUM,HAM,JED,Damaged,Intact,FedEx,Desert Logistics,Retail,Complete,Manual Inspection Required,Clear,Express,Fog,24009,10,8,45,94,0
3098,2024-02-07 01:00:00,Emirates,HUM,AMS,JED,Good,Tampered,Amazon Logistics,Jeddah Electronics,Corporate,Complete,Cleared,Clear,Express,Rain,4522,5,4,110,48,0
3099,2024-02-07 02:00:00,Qatar,AVI,PVG,JED,Average,Intact,DB Schenker,Jeddah Electronics,Retail,Pending,Cleared,Clear,VIP,Fog,18516,3,10,152,87,0
3100,2024-02-07 03:00:00,Lufthansa,AVI,JFK,JED,Damaged,Intact,Aramex,Jeddah Electronics,Agent,Complete,Cleared,Clear,VIP,Rain,28459,12,11,162,43,0
3101,2024-02-07 04:00:00,Lufthansa,DGR,JFK,JED,Average,Intact,DHL,Arabian Medical Supply,Agent,Complete,Cleared,Clear,VIP,Fog,49125,2,13,52,64,0
3102,2024-02-07 05:00:00,Emirates,AVI,DXB,JED,Average,Tampered,UPS,Jeddah Electronics,Corporate,Complete,Cleared,Clear,VIP,Fog,36823,8,11,42,73,0
3103,2024-02-07 06:00:00,Lufthansa,AVI,JFK,JED,Good,Intact,BlueDart,Saudi Pharma Ltd,Corporate,Complete,Cleared,Clear,Express,Storm,34174,6,12,44,42,0
3104,2024-02-07 07:00:00,Qatar,PER,JFK,JED,Good,Intact,DB Schenker,Arabian Medical Supply,Corporate,Pending,Cleared,Clear,Express,Fog,3728,6,3,115,83,0
3105,2024-02-07 08:00:00,Qatar,PIL,PVG,JED,Good,Intact,UPS,Red Sea Imports,Corporate,Complete,Cleared,Clear,VIP,Rain,45137,8,13,99,71,0
3106,2024-02-07 09:00:00,Emirates,PER,OSL,JED,Good,Intact,Aramex,Desert Logistics,Agent,Complete,Cleared,Clear,Express,Storm,11415,3,1,24,78,0
3107,2024-02-07 10:00:00,Qatar,PIL,PVG,JED,Good,Intact,DHL,Desert Logistics,Agent,Missing,Cleared,Clear,VIP,Fog,1155,6,7,15,87,0
3108,2024-02-07 11:00:00,Air India,VAL,DXB,JED,Good,Intact,Amazon Logistics,Arabian Medical Supply,Corporate,Complete,Cleared,Clear,Express,Fog,4287,7,7,116,56,0
3109,2024-02-07 12:00:00,Emirates,DGR,OSL,JED,Average,Intact,Amazon Logistics,Desert Logistics,Corporate,Complete,Cleared,Clear,VIP,Rain,16458,14,12,109,41,0
3110,2024-02-07 13:00:00,Qatar,PIL,OSL,JED,Good,Intact,DB Schenker,Al Jazeera Trading,Agent,Complete,Cleared,Clear,Express,Clear,4625,4,7,168,63,0
3111,2024-02-07 14:00:00,Emirates,PER,JFK,JED,Good,Intact,Amazon Logistics,Gulf Fresh Foods,Agent,Complete,Cleared,Clear,Normal,Storm,34204,2,10,10,62,0
3112,2024-02-07 15:00:00,Lufthansa,DGR,JFK,JED,Good,Intact,DB Schenker,Red Sea Imports,Agent,Pending,Pending,Clear,Express,Storm,9613,13,0,118,41,0
3113,2024-02-07 16:00:00,Qatar,DGR,MXP,JED,Average,Broken,UPS,Jeddah Electronics,Corporate,Complete,Pending,Clear,VIP,Clear,10565,1,12,161,65,0
3114,2024-02-07 17:00:00,Air India,HUM,HAM,JED,Good,Tampered,Aramex,Red Sea Imports,Corporate,Missing,Cleared,Clear,Normal,Storm,20778,7,9,20,75,1
3115,2024-02-07 18:00:00,Qatar,COL,HAM,JED,Good,Tampered,Aramex,Al Jazeera Trading,Retail,Complete,Failed,Clear,Express,Storm,11842,9,5,61,48,1
3116,2024-02-07 19:00:00,Emirates,COL,MAA,JED,Good,Tampered,DHL,Arabian Medical Supply,Corporate,Complete,Cleared,Restricted Item Detected,Express,Storm,2136,4,14,133,94,1
3117,2024-02-07 20:00:00,Emirates,COL,PVG,JED,Good,Tampered,Maersk,Jeddah Electronics,Agent,Pending,Cleared,Clear,Normal,Clear,32631,2,6,150,100,0
3118,2024-02-07 21:00:00,Qatar,DGR,MXP,JED,Good,Broken,UPS,Desert Logistics,Agent,Complete,Pending,Suspicious,Express,Storm,27197,12,4,134,58,1
3119,2024-02-07 22:00:00,Air India,HUM,FRA,JED,Good,Intact,DB Schenker,Jeddah Electronics,Corporate,Complete,Cleared,Clear,Express,Storm,2867,8,7,36,89,0
3120,2024-02-07 23:00:00,Air India,VAL,JFK,JED,Average,Intact,FedEx,Gulf Fresh Foods,Retail,Complete,Cleared,Clear,Normal,Storm,28747,2,3,151,91,0
3121,2024-02-08 00:00:00,Air India,VAL,FRA,JED,Average,Intact,UPS,Gulf Fresh Foods,Agent,Complete,Cleared,Clear,Normal,Rain,28421,13,2,112,51,0
3122,2024-02-08 01:00:00,Emirates,COL,MXP,JED,Average,Intact,Amazon Logistics,Red Sea Imports,Retail,Complete,Cleared,Clear,Express,Clear,30296,8,13,30,89,0
3123,2024-02-08 02:00:00,Qatar,VAL,HAM,JED,Good,Intact,UPS,Al Jazeera Trading,Retail,Complete,Cleared,Manual Review Required,VIP,Rain,38873,7,7,135,77,0
3124,2024-02-08 03:00:00,Lufthansa,HUM,MXP,JED,Good,Intact,UPS,Arabian Medical Supply,Retail,Complete,Manual Inspection Required,Suspicious,Express,Fog,475,10,6,44,79,1
3125,2024-02-08 04:00:00,Emirates,COL,DXB,JED,Good,Intact,DB Schenker,Middle East Retail Group,Retail,Complete,Manual Inspection Required,Clear,Express,Storm,2510,3,14,47,59,0
3126,2024-02-08 05:00:00,Air India,PIL,MAA,JED,Good,Broken,Maersk,Desert Logistics,Corporate,Complete,Cleared,Clear,VIP,Rain,48603,6,10,134,81,0
3127,2024-02-08 06:00:00,Qatar,PIL,MAA,JED,Average,Intact,UPS,Middle East Retail Group,Retail,Complete,Manual Inspection Required,Clear,Normal,Storm,17611,8,2,56,67,0
3128,2024-02-08 07:00:00,Air India,HUM,DXB,JED,Good,Intact,Aramex,Desert Logistics,Agent,Complete,Manual Inspection Required,Suspicious,Express,Storm,14572,0,10,57,70,1
3129,2024-02-08 08:00:00,Lufthansa,VAL,MAA,JED,Average,Intact,BlueDart,Arabian Medical Supply,Agent,Missing,Cleared,Clear,VIP,Fog,1863,13,1,178,69,0
3130,2024-02-08 09:00:00,Air India,COL,OSL,JED,Good,Missing,FedEx,Middle East Retail Group,Retail,Complete,Cleared,Clear,Express,Clear,3997,4,5,169,92,0
3131,2024-02-08 10:00:00,Air India,PIL,PVG,JED,Good,Intact,DHL,Gulf Fresh Foods,Agent,Complete,Cleared,Clear,Normal,Fog,34886,8,6,14,87,0
3132,2024-02-08 11:00:00,Lufthansa,HUM,FRA,JED,Damaged,Intact,Maersk,Desert Logistics,Corporate,Complete,Pending,Suspicious,Normal,Storm,41318,13,12,106,63,1
3133,2024-02-08 12:00:00,Qatar,AVI,HAM,JED,Average,Intact,Maersk,Middle East Retail Group,Retail,Complete,Cleared,Clear,VIP,Fog,7207,10,4,80,70,0
3134,2024-02-08 13:00:00,Emirates,PIL,HAM,JED,Good,Intact,DB Schenker,Saudi Pharma Ltd,Agent,Pending,Cleared,Clear,VIP,Storm,16206,4,6,169,40,0
3135,2024-02-08 14:00:00,Qatar,AVI,MAA,JED,Good,Intact,Amazon Logistics,Red Sea Imports,Retail,Complete,Manual Inspection Required,Clear,VIP,Fog,43157,1,5,13,59,0
3136,2024-02-08 15:00:00,Lufthansa,HUM,MAA,JED,Good,Intact,FedEx,Arabian Medical Supply,Corporate,Complete,Cleared,Manual Review Required,Normal,Storm,25221,3,8,127,52,0
3137,2024-02-08 16:00:00,Air India,HUM,OSL,JED,Good,Intact,BlueDart,Jeddah Electronics,Corporate,Complete,Cleared,Clear,Normal,Storm,49677,12,2,17,99,0
3138,2024-02-08 17:00:00,Qatar,PER,MAA,JED,Good,Intact,Maersk,Gulf Fresh Foods,Agent,Complete,Cleared,Clear,Express,Clear,20482,6,10,127,72,0
3139,2024-02-08 18:00:00,Emirates,PIL,MXP,JED,Good,Intact,Aramex,Desert Logistics,Retail,Complete,Cleared,Suspicious,Normal,Clear,24129,3,4,107,78,0
3140,2024-02-08 19:00:00,Lufthansa,PER,AMS,JED,Good,Intact,FedEx,Red Sea Imports,Corporate,Complete,Cleared,Clear,Express,Rain,13102,12,2,160,58,0
3141,2024-02-08 20:00:00,Qatar,DGR,JFK,JED,Good,Intact,Maersk,Al Jazeera Trading,Retail,Complete,Pending,Clear,VIP,Clear,30210,5,7,30,67,0
3142,2024-02-08 21:00:00,Emirates,PIL,HAM,JED,Good,Intact,Maersk,Al Jazeera Trading,Agent,Complete,Cleared,Clear,Express,Rain,33780,7,12,34,55,0
3143,2024-02-08 22:00:00,Lufthansa,COL,FRA,JED,Good,Intact,Aramex,Middle East Retail Group,Retail,Complete,Cleared,Clear,Normal,Storm,22089,0,12,28,52,0
3144,2024-02-08 23:00:00,Emirates,DGR,JFK,JED,Good,Intact,Aramex,Arabian Medical Supply,Retail,Missing,Cleared,Suspicious,Normal,Fog,47160,2,9,21,41,1
3145,2024-02-09 00:00:00,Lufthansa,DGR,DXB,JED,Good,Broken,Maersk,Saudi Pharma Ltd,Corporate,Complete,Cleared,Manual Review Required,Normal,Fog,4993,4,8,161,46,0
3146,2024-02-09 01:00:00,Air India,VAL,JFK,JED,Good,Intact,Maersk,Saudi Pharma Ltd,Retail,Complete,Cleared,Clear,VIP,Storm,42631,9,10,36,77,0
3147,2024-02-09 02:00:00,Qatar,AVI,MAA,JED,Good,Intact,UPS,Al Jazeera Trading,Corporate,Complete,Cleared,Clear,Normal,Storm,9624,11,2,156,89,0
3148,2024-02-09 03:00:00,Emirates,VAL,MAA,JED,Good,Intact,Aramex,Saudi Pharma Ltd,Agent,Complete,Failed,Clear,VIP,Clear,10010,4,9,57,43,0
3149,2024-02-09 04:00:00,Lufthansa,COL,PVG,JED,Good,Intact,Maersk,Desert Logistics,Agent,Complete,Manual Inspection Required,Clear,Express,Rain,18278,1,10,91,58,0
3150,2024-02-09 05:00:00,Emirates,HUM,HAM,JED,Good,Intact,Aramex,Al Jazeera Trading,Retail,Complete,Cleared,Clear,Normal,Rain,34019,14,9,127,94,0
3151,2024-02-09 06:00:00,Emirates,PER,OSL,JED,Good,Intact,BlueDart,Jeddah Electronics,Agent,Pending,Cleared,Clear,Normal,Storm,2108,0,6,91,99,0
3152,2024-02-09 07:00:00,Qatar,COL,AMS,JED,Good,Intact,Aramex,Jeddah Electronics,Agent,Missing,Cleared,Clear,Normal,Clear,31790,4,4,54,65,0
3153,2024-02-09 08:00:00,Air India,HUM,AMS,JED,Average,Intact,Amazon Logistics,Red Sea Imports,Agent,Complete,Manual Inspection Required,Clear,Normal,Clear,29487,0,2,150,57,0
3154,2024-02-09 09:00:00,Emirates,COL,MAA,JED,Average,Intact,UPS,Middle East Retail Group,Corporate,Complete,Pending,Clear,Express,Storm,16743,9,0,24,59,0
3155,2024-02-09 10:00:00,Lufthansa,HUM,PVG,JED,Average,Intact,BlueDart,Middle East Retail Group,Agent,Pending,Cleared,Manual Review Required,Express,Storm,15489,12,9,124,66,0
3156,2024-02-09 11:00:00,Lufthansa,PIL,MAA,JED,Damaged,Intact,DB Schenker,Desert Logistics,Corporate,Complete,Cleared,Clear,Normal,Rain,620,1,1,63,50,0
3157,2024-02-09 12:00:00,Air India,PER,PVG,JED,Average,Intact,UPS,Saudi Pharma Ltd,Corporate,Complete,Cleared,Clear,Normal,Fog,36020,10,4,120,99,0
3158,2024-02-09 13:00:00,Lufthansa,HUM,AMS,JED,Damaged,Broken,BlueDart,Arabian Medical Supply,Agent,Complete,Cleared,Restricted Item Detected,Normal,Rain,36580,8,4,40,84,0
3159,2024-02-09 14:00:00,Air India,DGR,DXB,JED,Good,Intact,DHL,Arabian Medical Supply,Retail,Complete,Cleared,Clear,Express,Fog,20492,8,11,145,48,0
3160,2024-02-09 15:00:00,Lufthansa,COL,JFK,JED,Good,Intact,Aramex,Red Sea Imports,Retail,Complete,Cleared,Clear,Express,Storm,32131,12,5,98,96,0
3161,2024-02-09 16:00:00,Qatar,PER,AMS,JED,Good,Tampered,FedEx,Arabian Medical Supply,Retail,Complete,Cleared,Clear,Normal,Clear,15037,10,13,65,70,0
3162,2024-02-09 17:00:00,Emirates,HUM,DXB,JED,Good,Intact,BlueDart,Desert Logistics,Agent,Complete,Cleared,Clear,Express,Storm,5769,14,7,24,60,0
3163,2024-02-09 18:00:00,Qatar,DGR,DXB,JED,Good,Intact,DHL,Gulf Fresh Foods,Retail,Complete,Cleared,Clear,VIP,Storm,22230,3,11,95,98,0
3164,2024-02-09 19:00:00,Emirates,DGR,PVG,JED,Good,Intact,FedEx,Jeddah Electronics,Retail,Complete,Manual Inspection Required,Clear,Express,Storm,15607,1,10,42,73,0
3165,2024-02-09 20:00:00,Emirates,PIL,MAA,JED,Damaged,Intact,UPS,Gulf Fresh Foods,Retail,Complete,Cleared,Manual Review Required,VIP,Storm,32371,6,11,144,78,0
3166,2024-02-09 21:00:00,Emirates,AVI,MAA,JED,Average,Intact,Maersk,Gulf Fresh Foods,Corporate,Complete,Pending,Clear,Express,Storm,9857,2,3,46,85,0
3167,2024-02-09 22:00:00,Qatar,DGR,HAM,JED,Average,Intact,FedEx,Arabian Medical Supply,Retail,Complete,Cleared,Clear,VIP,Fog,49280,3,14,50,42,0
3168,2024-02-09 23:00:00,Emirates,VAL,DXB,JED,Good,Intact,BlueDart,Desert Logistics,Agent,Complete,Manual Inspection Required,Manual Review Required,Normal,Fog,45092,14,11,174,50,1
3169,2024-02-10 00:00:00,Qatar,PER,FRA,JED,Average,Intact,Maersk,Gulf Fresh Foods,Corporate,Complete,Cleared,Clear,Normal,Fog,45535,5,10,42,91,0
3170,2024-02-10 01:00:00,Air India,PER,MAA,JED,Damaged,Intact,FedEx,Desert Logistics,Retail,Complete,Cleared,Restricted Item Detected,Express,Storm,48742,14,4,53,90,0
3171,2024-02-10 02:00:00,Lufthansa,PER,MXP,JED,Good,Intact,Maersk,Desert Logistics,Agent,Complete,Manual Inspection Required,Clear,VIP,Clear,41004,6,6,48,70,0
3172,2024-02-10 03:00:00,Lufthansa,HUM,JFK,JED,Good,Intact,UPS,Arabian Medical Supply,Corporate,Complete,Cleared,Clear,Express,Rain,28935,10,0,99,70,0
3173,2024-02-10 04:00:00,Emirates,COL,FRA,JED,Good,Intact,Maersk,Red Sea Imports,Corporate,Complete,Cleared,Suspicious,VIP,Storm,21638,3,13,12,92,0
3174,2024-02-10 05:00:00,Qatar,HUM,DXB,JED,Good,Intact,Aramex,Desert Logistics,Corporate,Complete,Pending,Clear,Normal,Fog,37090,8,1,10,51,0
3175,2024-02-10 06:00:00,Lufthansa,VAL,FRA,JED,Good,Intact,Aramex,Arabian Medical Supply,Agent,Complete,Cleared,Clear,VIP,Rain,43426,10,13,151,44,0
3176,2024-02-10 07:00:00,Qatar,COL,HAM,JED,Good,Intact,FedEx,Desert Logistics,Retail,Complete,Failed,Clear,Normal,Fog,15787,4,5,11,53,0
3177,2024-02-10 08:00:00,Qatar,PIL,OSL,JED,Good,Intact,Aramex,Middle East Retail Group,Agent,Missing,Cleared,Clear,VIP,Fog,8655,9,0,46,82,0
3178,2024-02-10 09:00:00,Emirates,DGR,PVG,JED,Average,Intact,Aramex,Desert Logistics,Retail,Pending,Cleared,Clear,VIP,Storm,19393,3,2,32,59,0
3179,2024-02-10 10:00:00,Lufthansa,HUM,PVG,JED,Good,Missing,Maersk,Saudi Pharma Ltd,Retail,Complete,Cleared,Clear,Normal,Clear,45544,12,4,36,67,0
3180,2024-02-10 11:00:00,Emirates,COL,OSL,JED,Good,Intact,DB Schenker,Jeddah Electronics,Corporate,Complete,Cleared,Clear,Express,Clear,28356,7,7,18,96,0
3181,2024-02-10 12:00:00,Emirates,DGR,MAA,JED,Damaged,Intact,UPS,Arabian Medical Supply,Agent,Complete,Cleared,Clear,Express,Fog,36432,5,13,23,50,0
3182,2024-02-10 13:00:00,Lufthansa,COL,PVG,JED,Good,Intact,Maersk,Red Sea Imports,Agent,Complete,Cleared,Restricted Item Detected,Express,Clear,37680,6,10,126,86,0
3183,2024-02-10 14:00:00,Lufthansa,DGR,JFK,JED,Good,Intact,BlueDart,Gulf Fresh Foods,Agent,Complete,Cleared,Clear,Express,Rain,3776,11,4,142,52,0
3184,2024-02-10 15:00:00,Air India,COL,JFK,JED,Average,Intact,DB Schenker,Red Sea Imports,Agent,Complete,Manual Inspection Required,Clear,Normal,Fog,27986,4,11,164,94,0
3185,2024-02-10 16:00:00,Air India,HUM,AMS,JED,Good,Intact,DHL,Saudi Pharma Ltd,Corporate,Complete,Cleared,Clear,Normal,Clear,46169,13,12,119,62,0
3186,2024-02-10 17:00:00,Qatar,HUM,PVG,JED,Good,Intact,FedEx,Arabian Medical Supply,Retail,Pending,Cleared,Clear,Express,Fog,15334,13,9,97,100,0
3187,2024-02-10 18:00:00,Lufthansa,VAL,DXB,JED,Damaged,Intact,Aramex,Saudi Pharma Ltd,Corporate,Complete,Cleared,Clear,Express,Fog,41056,5,7,141,71,0
3188,2024-02-10 19:00:00,Air India,PIL,DXB,JED,Good,Tampered,Amazon Logistics,Al Jazeera Trading,Agent,Complete,Cleared,Clear,VIP,Fog,24454,12,13,58,77,0
3189,2024-02-10 20:00:00,Qatar,PIL,MAA,JED,Good,Tampered,DHL,Middle East Retail Group,Retail,Complete,Cleared,Clear,Normal,Clear,891,12,14,137,89,0
3190,2024-02-10 21:00:00,Qatar,AVI,FRA,JED,Damaged,Intact,Amazon Logistics,Red Sea Imports,Retail,Complete,Cleared,Restricted Item Detected,Express,Clear,23790,3,7,134,86,0
3191,2024-02-10 22:00:00,Qatar,PER,PVG,JED,Average,Intact,FedEx,Arabian Medical Supply,Agent,Complete,Cleared,Clear,VIP,Clear,19355,0,2,20,73,0
3192,2024-02-10 23:00:00,Air India,HUM,FRA,JED,Good,Intact,Maersk,Jeddah Electronics,Corporate,Complete,Cleared,Clear,Normal,Storm,24061,1,12,40,61,0
3193,2024-02-11 00:00:00,Lufthansa,HUM,DXB,JED,Average,Intact,BlueDart,Saudi Pharma Ltd,Agent,Complete,Cleared,Clear,VIP,Rain,29101,10,4,99,65,0
3194,2024-02-11 01:00:00,Emirates,DGR,MAA,JED,Good,Intact,BlueDart,Middle East Retail Group,Retail,Complete,Cleared,Clear,VIP,Fog,47579,13,13,22,72,0
3195,2024-02-11 02:00:00,Qatar,AVI,PVG,JED,Good,Intact,DHL,Jeddah Electronics,Retail,Complete,Pending,Clear,Normal,Rain,9626,9,13,104,78,0
3196,2024-02-11 03:00:00,Air India,PIL,AMS,JED,Good,Tampered,UPS,Red Sea Imports,Corporate,Complete,Cleared,Restricted Item Detected,VIP,Storm,5315,3,3,88,48,1
3197,2024-02-11 04:00:00,Air India,HUM,DXB,JED,Damaged,Intact,FedEx,Middle East Retail Group,Agent,Complete,Cleared,Clear,VIP,Rain,20015,7,13,132,99,0
3198,2024-02-11 05:00:00,Emirates,COL,AMS,JED,Average,Intact,Aramex,Saudi Pharma Ltd,Agent,Complete,Cleared,Clear,VIP,Rain,45000,7,2,75,95,0
3199,2024-02-11 06:00:00,Emirates,PIL,HAM,JED,Average,Intact,FedEx,Desert Logistics,Retail,Complete,Cleared,Clear,Express,Rain,46312,0,12,158,76,0
3200,2024-02-11 07:00:00,Air India,AVI,DXB,JED,Good,Intact,BlueDart,Jeddah Electronics,Retail,Complete,Cleared,Clear,Express,Rain,13404,3,10,146,85,0
3201,2024-02-11 08:00:00,Lufthansa,PER,AMS,JED,Good,Intact,Amazon Logistics,Middle East Retail Group,Retail,Complete,Cleared,Clear,VIP,Fog,27876,10,8,172,71,0
3202,2024-02-11 09:00:00,Emirates,COL,AMS,JED,Average,Tampered,Aramex,Gulf Fresh Foods,Corporate,Complete,Cleared,Clear,Express,Fog,12512,8,14,167,95,0
3203,2024-02-11 10:00:00,Air India,DGR,JFK,JED,Good,Intact,Amazon Logistics,Red Sea Imports,Corporate,Complete,Cleared,Clear,Express,Clear,35074,12,5,113,94,0
3204,2024-02-11 11:00:00,Emirates,VAL,MXP,JED,Good,Intact,Amazon Logistics,Gulf Fresh Foods,Agent,Pending,Cleared,Clear,Express,Clear,44767,10,13,35,78,0
3205,2024-02-11 12:00:00,Lufthansa,COL,OSL,JED,Average,Intact,Amazon Logistics,Gulf Fresh Foods,Corporate,Complete,Cleared,Clear,Express,Fog,12893,2,6,44,51,0
3206,2024-02-11 13:00:00,Qatar,PIL,DXB,JED,Average,Intact,Aramex,Arabian Medical Supply,Retail,Complete,Cleared,Clear,Normal,Rain,883,5,1,163,85,0
3207,2024-02-11 14:00:00,Emirates,PER,MAA,JED,Good,Intact,Maersk,Al Jazeera Trading,Corporate,Complete,Cleared,Clear,VIP,Clear,27233,4,12,34,94,0
3208,2024-02-11 15:00:00,Lufthansa,COL,PVG,JED,Good,Intact,BlueDart,Jeddah Electronics,Retail,Complete,Cleared,Suspicious,VIP,Storm,38168,14,8,10,83,0
3209,2024-02-11 16:00:00,Air India,AVI,FRA,JED,Good,Tampered,BlueDart,Middle East Retail Group,Retail,Missing,Pending,Suspicious,Express,Storm,20884,11,9,147,55,1
3210,2024-02-11 17:00:00,Emirates,AVI,MXP,JED,Average,Intact,DHL,Arabian Medical Supply,Corporate,Complete,Cleared,Clear,Express,Storm,13789,13,5,107,60,0
3211,2024-02-11 18:00:00,Emirates,PER,MAA,JED,Good,Intact,Amazon Logistics,Al Jazeera Trading,Corporate,Complete,Manual Inspection Required,Clear,Normal,Fog,9027,9,13,93,62,0
3212,2024-02-11 19:00:00,Air India,PIL,AMS,JED,Good,Intact,DB Schenker,Al Jazeera Trading,Agent,Pending,Pending,Clear,Normal,Fog,35457,12,9,101,61,0
3213,2024-02-11 20:00:00,Qatar,AVI,DXB,JED,Average,Tampered,Amazon Logistics,Al Jazeera Trading,Corporate,Missing,Cleared,Clear,Express,Clear,39535,7,5,62,86,0
3214,2024-02-11 21:00:00,Air India,COL,OSL,JED,Good,Intact,UPS,Middle East Retail Group,Retail,Complete,Cleared,Suspicious,Normal,Storm,13263,0,7,130,62,0
3215,2024-02-11 22:00:00,Emirates,VAL,PVG,JED,Good,Intact,DB Schenker,Desert Logistics,Retail,Complete,Cleared,Suspicious,Normal,Clear,45333,4,12,119,92,0
3216,2024-02-11 23:00:00,Air India,COL,DXB,JED,Good,Intact,DB Schenker,Red Sea Imports,Agent,Complete,Cleared,Clear,Express,Rain,35130,13,6,51,96,0
3217,2024-02-12 00:00:00,Lufthansa,VAL,AMS,JED,Good,Intact,UPS,Arabian Medical Supply,Retail,Complete,Pending,Clear,Normal,Clear,5084,8,12,87,100,0
3218,2024-02-12 01:00:00,Air India,AVI,MXP,JED,Good,Intact,DHL,Desert Logistics,Retail,Complete,Pending,Manual Review Required,VIP,Clear,26337,0,9,145,89,0
3219,2024-02-12 02:00:00,Emirates,COL,FRA,JED,Good,Intact,Aramex,Red Sea Imports,Corporate,Complete,Cleared,Clear,Normal,Fog,12291,6,0,41,62,0
3220,2024-02-12 03:00:00,Air India,AVI,OSL,JED,Average,Intact,DHL,Desert Logistics,Corporate,Complete,Cleared,Clear,Normal,Rain,23060,12,9,106,41,0
3221,2024-02-12 04:00:00,Qatar,PIL,MAA,JED,Good,Intact,FedEx,Gulf Fresh Foods,Retail,Complete,Cleared,Clear,VIP,Storm,25556,5,13,50,91,0
3222,2024-02-12 05:00:00,Air India,VAL,OSL,JED,Good,Broken,Maersk,Red Sea Imports,Agent,Complete,Cleared,Clear,Normal,Rain,21239,13,5,108,41,0
3223,2024-02-12 06:00:00,Qatar,PIL,AMS,JED,Good,Tampered,DB Schenker,Middle East Retail Group,Retail,Complete,Cleared,Clear,Express,Clear,14231,11,12,78,48,0
3224,2024-02-12 07:00:00,Lufthansa,AVI,AMS,JED,Good,Intact,Aramex,Gulf Fresh Foods,Agent,Missing,Pending,Clear,Normal,Storm,38793,9,12,110,92,0
3225,2024-02-12 08:00:00,Qatar,HUM,HAM,JED,Good,Intact,FedEx,Middle East Retail Group,Retail,Complete,Cleared,Clear,Express,Fog,10663,1,9,178,42,0
3226,2024-02-12 09:00:00,Air India,DGR,MXP,JED,Good,Tampered,FedEx,Desert Logistics,Retail,Complete,Cleared,Suspicious,VIP,Fog,44952,14,4,115,71,1
3227,2024-02-12 10:00:00,Emirates,COL,MAA,JED,Good,Intact,Maersk,Saudi Pharma Ltd,Retail,Complete,Cleared,Clear,Express,Storm,29355,5,6,162,69,0
3228,2024-02-12 11:00:00,Qatar,HUM,OSL,JED,Good,Missing,Maersk,Al Jazeera Trading,Retail,Complete,Cleared,Clear,VIP,Clear,37285,8,7,32,69,0
3229,2024-02-12 12:00:00,Lufthansa,PIL,MAA,JED,Good,Intact,Amazon Logistics,Red Sea Imports,Retail,Complete,Cleared,Clear,Normal,Storm,1726,8,14,41,72,0
3230,2024-02-12 13:00:00,Qatar,AVI,MAA,JED,Average,Intact,DB Schenker,Gulf Fresh Foods,Corporate,Complete,Failed,Clear,Normal,Rain,45397,11,4,40,97,0
